DatabaseName,ParentSchema,ParentTable,ColumnName,ColumnOrder,DataType,ColumnSize,ConstraintType,ChildSchema,ChildTable,ChildColumn
,main,fraud_detection_rules,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,fraud_detection_rules,rule_name,2,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,rule_name,2,varchar,NULL,UNIQUE,NULL,NULL,NULL
,main,fraud_detection_rules,description,3,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,rule_type,4,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,rule_type,4,varchar,NULL,UNIQUE,NULL,NULL,NULL
,main,fraud_detection_rules,conditions,5,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,parameters,6,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,threshold_value,7,numeric,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,threshold_operator,8,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,time_window_minutes,9,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,risk_score,10,numeric,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,severity,11,varchar,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,enabled,12,tinyint,1,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,priority,13,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,created_by,14,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,created_by,14,integer,NULL,FOREIGN KEY,main,users,id
,main,fraud_detection_rules,updated_by,15,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,updated_by,15,integer,NULL,FOREIGN KEY,main,users,id
,main,fraud_detection_rules,tags,16,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,last_triggered_at,17,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,trigger_count,18,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,created_at,19,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_detection_rules,updated_at,20,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_watchlist,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_watchlist,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,fraud_watchlist,user_id,2,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_watchlist,user_id,2,integer,NULL,UNIQUE,NULL,NULL,NULL
,main,fraud_watchlist,user_id,2,integer,NULL,FOREIGN KEY,main,users,id
,main,fraud_watchlist,added_by,3,integer,NULL,NULL,NULL,NULL,NULL
,main,fraud_watchlist,added_by,3,integer,NULL,FOREIGN KEY,main,users,id
,main,fraud_watchlist,reason,4,text,NULL,NULL,NULL,NULL,NULL
,main,fraud_watchlist,created_at,5,datetime,NULL,NULL,NULL,NULL,NULL
,main,fraud_watchlist,updated_at,6,datetime,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,gig_jobs,employer_id,2,integer,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,employer_id,2,integer,NULL,FOREIGN KEY,main,users,id
,main,gig_jobs,title,3,varchar,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,description,4,text,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,required_skills,5,text,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,budget_type,6,varchar,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,budget_min,7,numeric,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,budget_max,8,numeric,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,experience_level,9,varchar,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,estimated_duration_days,10,integer,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,status,11,varchar,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,deadline,12,datetime,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,location,13,varchar,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,is_remote,14,tinyint,1,NULL,NULL,NULL,NULL
,main,gig_jobs,created_at,15,datetime,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,updated_at,16,datetime,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,hidden_by_admin,17,tinyint,1,NULL,NULL,NULL,NULL
,main,gig_jobs,project_category,18,varchar,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,job_complexity,19,varchar,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,skills_requirements,20,text,NULL,NULL,NULL,NULL,NULL
,main,gig_jobs,nice_to_have_skills,21,text,NULL,NULL,NULL,NULL,NULL
,main,immutable_audit_logs,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,immutable_audit_logs,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,immutable_audit_logs,log_id,2,varchar,NULL,NULL,NULL,NULL,NULL
,main,immutable_audit_logs,log_id,2,varchar,NULL,UNIQUE,NULL,NULL,NULL
,main,immutable_audit_logs,table_name,3,varchar,NULL,NULL,NULL,NULL,NULL
,main,immutable_audit_logs,action,4,varchar,NULL,NULL,NULL,NULL,NULL
,main,immutable_audit_logs,record_id,5,integer,NULL,NULL,NULL,NULL,NULL
,main,immutable_audit_logs,user_id,6,integer,NULL,NULL,NULL,NULL,NULL
,main,immutable_audit_logs,user_id,6,integer,NULL,FOREIGN KEY,main,users,id
,main,immutable_audit_logs,user_type,7,varchar,NULL,NULL,NULL,NULL,NULL
,main,immutable_audit_logs,old_values,8,text,NULL,NULL,NULL,NULL,NULL
